tier,project,bug,triggers,hunks,nonlocal,buggy_rev,fixed_rev,modified_class,method_hint,first_trigger_test
nonlocal_gem,Chart,4,22,4,True,2182,2183,org.jfree.chart.plot.XYPlot,"public class XYPlot extends Plot implements ValueAxisPlot, Pannable,",org.jfree.chart.axis.junit.LogAxisTests::testXYAutoRange1
nonlocal_gem,Chart,26,22,2,True,102,103,org.jfree.chart.axis.Axis,"public abstract class Axis implements Cloneable, Serializable {",org.jfree.chart.junit.AreaChartTests::testDrawWithNullInfo
nonlocal_gem,Chart,16,8,4,True,741,743,org.jfree.data.category.DefaultIntervalCategoryDataset,public class DefaultIntervalCategoryDataset extends AbstractSeriesData,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetCategoryIndex
nonlocal_gem,Mockito,20,8,4,True,98610b68e93e75a5b1db2687894bb30ff2b09c90,7616cd17d5e1dc7c3dee080c6969183821d4797a,org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker,public class ByteBuddyMockMaker implements MockMaker {,org.mockitousage.annotation.SpyAnnotationTest::should_spy_inner_class
nonlocal_gem,Time,14,8,2,True,cc3262ff42e41f3b1f64290262704da3895fbe85,2ea856328ed5710537778d755a5ff52a6831a2ee,org.joda.time.chrono.BasicMonthOfYearDateTimeField,class BasicMonthOfYearDateTimeField extends ImpreciseDateTimeField {,org.joda.time.TestMonthDay_Basics::testPlusMonths_int_negativeFromLeap
nonlocal_gem,Gson,14,7,4,True,5848096f3e1f36c038f522a3d7d6b9e3b553cf8e,a300148003e3a067875b1444e8268b6e0f0e0e02,com.google.gson.internal.$Gson$Types,public final class $Gson$Types {,com.google.gson.internal.bind.RecursiveTypesResolveTest::testDoubleSupertype
nonlocal_gem,Mockito,6,7,40,True,a7ba606944563adcdc631a2c04463a8124d26b02,dc205824dbc289acbcde919e430176ad72da847f,org.mockito.Matchers,public class Matchers {,org.mockitousage.matchers.AnyXMatchersAcceptNullsTest::shouldNotAcceptNullInAllAnyPrimitiveWrapperMatchers
nonlocal_gem,Chart,22,6,8,True,225,227,org.jfree.data.KeyedObjects2D,"public class KeyedObjects2D implements Cloneable, Serializable {",org.jfree.data.junit.KeyedObjects2DTests::testRemoveColumnByKey
nonlocal_gem,Chart,25,4,12,True,162,164,org.jfree.chart.renderer.category.StatisticalBarRenderer,public class StatisticalBarRenderer extends BarRenderer,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullMeanVertical
nonlocal_gem,JacksonDatabind,76,4,2,True,934f485d4c62854dd2ef48ed7ebb238f3abec0b7,e08dafef4faa7d71330160dafcbe77536d90e809,com.fasterxml.jackson.databind.deser.BuilderBasedDeserializer,public class BuilderBasedDeserializer,com.fasterxml.jackson.databind.deser.builder.BuilderWithUnwrappedTest::testWithUnwrappedAndCreatorSingleParameterAtBeginning
nonlocal_gem,Mockito,26,4,2,True,41441c6b00e64c9f1f1275ff01a0ac4f7c4ae13e,af44738c7de74f24e37ea0c1242e73b07c3f4362,org.mockito.internal.util.Primitives,public class Primitives {,org.mockito.internal.progress.HandyReturnValuesTest::should_default_values_for_primitive
nonlocal_gem,Mockito,35,4,6,True,bff7ae0f4db9c5c0f7bfcdd3a47d4fa0fdaa1232,27a2f515197d4688c4df82afb791bf8ce20a5504,org.mockito.Matchers,public class Matchers {,org.mockitousage.bugs.NPEWithCertainMatchersTest::shouldNotThrowNPEWhenIntPassed
nonlocal_gem,Closure,4,3,4,True,1c95684b4a6add525b3070cbd27c234981520676,efefb736fccc2039b5fb079710b3f2ac82b8c6e4,com.google.javascript.rhino.jstype.NamedType,class NamedType extends ProxyObjectType {,com.google.javascript.jscomp.TypeCheckTest::testImplementsExtendsLoop
nonlocal_gem,Closure,152,3,2,True,08fc2551ca3c811a02407d593b6ae39d2439a88c,de491e70b971caca03f07531c2caf97b878cd1ff,com.google.javascript.rhino.jstype.FunctionType,public class FunctionType extends PrototypeObjectType {,com.google.javascript.jscomp.TypeCheckTest::testBackwardsTypedefUse1
nonlocal_gem,JacksonDatabind,18,3,18,True,de1376e85e247f7e4b185183b6433721dec172bc,2abf5a321405a82ed4e0d3a7c876c82bb05188f9,com.fasterxml.jackson.databind.MappingIterator,"public class MappingIterator<T> implements Iterator<T>, Closeable",com.fasterxml.jackson.databind.seq.ReadRecoveryTest::testSimpleRootRecovery
nonlocal_gem,JacksonDatabind,63,3,2,True,df6ea43bdada52d5265d52c7d6c75e25a14da8ce,ab4f17f355402fdfa43994e8b1809f14ccce030e,com.fasterxml.jackson.databind.JsonMappingException,public class JsonMappingException,com.fasterxml.jackson.databind.deser.exc.ExceptionPathTest::testReferenceChainForInnerClass
nonlocal_gem,JacksonXml,1,3,4,True,81f38e1985bdfafdbe02e32dfb5ccb200fc64eae,2d7683ed820116b77cba9b4b290cd7ce7dfa5cf4,com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,public class FromXmlParser,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test::testNestedUnwrappedLists180
nonlocal_gem,Math,12,3,3,True,42673df5b72ca93fa4dbac6fdb0dec19e0ed6992,185e3033ef43527a729c9dda5d57ed0537921a27,org.apache.commons.math3.random.BitsStreamGenerator,import org.apache.commons.math3.util.FastMath;,org.apache.commons.math3.distribution.GammaDistributionTest::testDistributionClone
nonlocal_gem,Mockito,9,3,3,True,f45c2dc0c21f365218fa093106e45dbb0b54746a,31f908029b8cd9b1f32bed3a41651b30ebb47b9f,org.mockito.internal.stubbing.answers.CallsRealMethods,"public class CallsRealMethods implements Answer<Object>, Serializable ",org.mockitousage.constructor.CreatingMocksWithConstructorTest::abstractMethodStubbed
bigproj_cascade,Closure,49,66,6,False,62581c697a626f2cd848b98648aa42329d482859,1a7ba5cb0111dd3ed9afd9691cab39b3c341e408,com.google.javascript.jscomp.MakeDeclaredNamesUnique,class MakeDeclaredNamesUnique,com.google.javascript.jscomp.FunctionInjectorTest::testInline19b
bigproj_cascade,Lang,34,27,4,False,5c3ec55e15922c58bb2f39145de9fe641840bb50,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,org.apache.commons.lang3.builder.ToStringStyle,public abstract class ToStringStyle implements Serializable {,org.apache.commons.lang3.builder.ToStringBuilderTest::testObjectCycle
bigproj_cascade,Mockito,1,26,2,False,837fd054a0da2c8706732dcd4bc880a64b957c78,4e9d7607825c3c668fd43f19507bfead566c528c,org.mockito.internal.invocation.InvocationMatcher,"public class InvocationMatcher implements DescribedInvocation, Capture",org.mockito.internal.invocation.InvocationMatcherTest::should_capture_arguments_when_args_count_does_NOT_match
bigproj_cascade,Codec,12,12,4,False,caa142d0399f10ce3ec6fb843e679e2d8c07c43f,1fc451c79779bdbf788e8bfbec6dc031a47495d8,org.apache.commons.codec.binary.BaseNCodecInputStream,public class BaseNCodecInputStream extends FilterInputStream {,org.apache.commons.codec.binary.Base32InputStreamTest::testSkipToEnd
bigproj_cascade,Lang,57,11,2,False,848a8144bc42fddbbc466a38a897f5c09f0d49e2,cf20d13c64da51becd1351befe02a06144fd6fc1,org.apache.commons.lang.LocaleUtils,public class LocaleUtils {,org.apache.commons.lang.LocaleUtilsTest::testAvailableLocaleSet
bigproj_cascade,Mockito,12,10,2,False,a154b66c1a87eb4ff26d91781414dde042bb9a9f,7a647a702c8af81ccf5d37b09c11529c6c0cb1b7,org.mockito.internal.util.reflection.GenericMaster,public class GenericMaster {,org.mockito.internal.util.reflection.GenericMasterTest::shouldDealWithNestedGenerics
bigproj_cascade,Closure,100,9,4,False,71a6f6049d9359ea047adafc2a77e4dfb1398f41,6d00ac1a68612aade8a19d7ecc9b180f00ae5234,com.google.javascript.jscomp.CheckGlobalThis,final class CheckGlobalThis implements Callback {,com.google.javascript.jscomp.CheckGlobalThisTest::testStaticFunction6
bigproj_cascade,Mockito,3,9,4,False,4e9d7607825c3c668fd43f19507bfead566c528c,3eec7451d6c83c280743c39b39c77a179abb30f9,org.mockito.internal.invocation.InvocationMatcher,"public class InvocationMatcher implements DescribedInvocation, Capture",org.mockito.internal.invocation.InvocationMatcherTest::should_capture_varargs_as_vararg
bigproj_cascade,Closure,1,8,2,False,2353d807058bc2a20af279a480d6652cdf892f4d,1dfad5043a207e032a78ef50c3cba50488bcd300,com.google.javascript.jscomp.RemoveUnusedVars,class RemoveUnusedVars,com.google.javascript.jscomp.CommandLineRunnerTest::testSimpleModeLeavesUnusedParams
bigproj_cascade,Closure,116,8,4,False,b9262dcd42d1b8f53c2a974c182feba2899dc74c,b80dfd3b0e5e4b490b7afb469320d18bac4520b4,com.google.javascript.jscomp.FunctionInjector,class FunctionInjector {,com.google.javascript.jscomp.FunctionInjectorTest::testIssue1101a
bigproj_cascade,Compress,21,8,2,False,afce414fb9351fba7e68dc5e77e2e144c3c59722,5c2d32b322fa797cf428b35c4c5998173d6403d5,org.apache.commons.compress.archivers.sevenz.SevenZOutputFile,public class SevenZOutputFile {,org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest::testSevenEmptyFiles
bigproj_cascade,Closure,26,7,6,False,d36428ed0ba16afb7fa603154be162514303fbcf,372eb11e44b8559004bfe78a5b4003caf0072135,com.google.javascript.jscomp.ProcessCommonJSModules,public class ProcessCommonJSModules implements CompilerPass {,com.google.javascript.jscomp.CommandLineRunnerTest::testTransformAMDAndProcessCJS
bigproj_cascade,Closure,86,7,2,False,5cd9c1efe90dc7c1be33cd7f8c1dcbaa9225909e,0907b6618a60b2de23c8f7ec2217a37dc5e9a091,com.google.javascript.jscomp.NodeUtil,public final class NodeUtil {,com.google.javascript.jscomp.NodeUtilTest::testLocalValue1
bigproj_cascade,Closure,88,7,2,False,d68322323aa52d943b9dc5618ef8ea81d43d7b4f,6a17da87f9e132bdc147b33223826da040c77a6b,com.google.javascript.jscomp.DeadAssignmentsElimination,class DeadAssignmentsElimination extends AbstractPostOrderCallback imp,com.google.javascript.jscomp.CommandLineRunnerTest::testIssue297
bigproj_cascade,Time,16,7,2,False,dba7c37ea3d83b32779d3bb13cb184aedf761a8a,706513d59425e7a9dc6bdb972f25b03b02e48558,org.joda.time.format.DateTimeFormatter,public class DateTimeFormatter {,org.joda.time.format.TestDateTimeFormatter::testParseInto_monthOnly_baseStartYear
bigproj_cascade,Time,24,7,2,False,c3bec2cd4eea2e87c650f5ad9b537dddb804778c,d50efdf75a8daeced88d79b168f68d189fb87e13,org.joda.time.format.DateTimeParserBucket,public class DateTimeParserBucket {,org.joda.time.format.TestDateTimeFormatter::testParseLocalDate_weekyear_month_week_2010
bigproj_cascade,Closure,127,6,2,False,437a9e47d1a371f9e6724210b16d11d75366c3a0,211dc0161ae737f59cac22f30b048d56a059d14b,com.google.javascript.jscomp.UnreachableCodeElimination,class UnreachableCodeElimination implements CompilerPass {,com.google.javascript.jscomp.UnreachableCodeEliminationTest::testIssue4177428_return
bigproj_cascade,Csv,14,6,2,False,1023690dc284afaf380b0cf3eb74c411e0663465,190390bf5dd83d6137ca3045902fcecbeafa3227,org.apache.commons.csv.CSVFormat,public final class CSVFormat implements Serializable {,org.apache.commons.csv.CSVPrinterTest::testEscapeNull1
bigproj_cascade,Jsoup,36,6,8,False,b67cc18ba1814d1abdb16f8ee9bb5473aaa42cf8,f052908ec90e12bdc6b67915ef2290aa9eefa48b,org.jsoup.helper.DataUtil,import org.jsoup.parser.Parser;,org.jsoup.helper.DataUtilTest::shouldCorrectCharsetForDuplicateCharsetString
bigproj_cascade,Math,43,6,2,False,92790191d091c7d01e8f227def0ce168497b5b49,118f0cc0856afa4c61113fe5a742d11bc35a34d1,org.apache.commons.math.stat.descriptive.SummaryStatistics,"public class SummaryStatistics implements StatisticalSummary, Serializ",org.apache.commons.math.stat.descriptive.SummaryStatisticsTest::testOverrideMeanWithMathClass
